rank,band,bucket,title,template_id,live_supply,live_supply_status,issued_supply,max_supply,pre_baseline_missing_or_burned,missing_or_burned_count,rarity_trait,rarity_live_exposure,variation_trait,variation_live_exposure,final_score,url,atomicassets_url,atomichub_url
,Utility / Open Mint,utility_open_mint,👉👑 BITCOIN KiD ROYALE ⚡️⚡️⚡️,776145,69,counted,69,0,0,0,ROCKIN HORSE INFINITY 👑,,👑 ROYALE ⚡️⚡️⚡️,,,/wiki/gkniftyheads-bitcoin-kid-royale-776145.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776145,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776145
,Utility / Open Mint,utility_open_mint,VANDAL ⚡️⚡️⚡️,776147,65,counted,65,0,0,0,ROCKIN HORSE INFINITY SHIT,,👑 GKniftyHEADS ⚡️⚡️⚡️,,,/wiki/gkniftyheads-vandal-776147.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776147,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776147
,Utility / Open Mint,utility_open_mint,👉 WE ARE VANDALS ⚡️⚡️⚡️,776146,63,counted,63,0,0,0,ROCKIN HORSE INFINITY SHIT SHOW ⚡️⚡️⚡️,,VANDALS ⚡️⚡️⚡️,,,/wiki/gkniftyheads-we-are-vandals-776146.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776146,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776146
,Utility / Open Mint,utility_open_mint,💊 BITCOIN KiD x SARAH PFLY INFINITE ⚡️⚡️⚡️,776004,12,counted,12,0,0,0,💊 ROCKIN HORSE INFINITY SHIT SHOW ⚡️⚡️⚡️,,💊 GKniftyHEADS ⚡️⚡️⚡️,,,/wiki/gkniftyheads-bitcoin-kid-x-sarah-pfly-infinite-776004.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776004,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776004
,Utility / Open Mint,utility_open_mint,⚡️⚡️⚡️ WAXP Sentinel Solar Savior ⚡️⚡️⚡️,784274,12,counted,12,0,0,0,⚡️⚡️⚡️ Primeval Paragon ☠️,,Crypto Shifter ☠️,,,/wiki/gkniftyheads-waxp-sentinel-solar-savior-784274.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/784274,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=784274
,Utility / Open Mint,utility_open_mint,👉👑 BITCOIN KiD INFINITE ⚡️⚡️⚡️,776058,11,counted,11,0,0,0,ROCKIN HORSE INFINITY 👑,,👑 GKniftyHEADS ⚡️⚡️⚡️,,,/wiki/gkniftyheads-bitcoin-kid-infinite-776058.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776058,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776058
,Utility / Open Mint,utility_open_mint,👑 BITCOIN KiD INFINITE ⚡️⚡️⚡️,776056,10,counted,10,0,0,0,ROCKIN HOR$£ $HIT,,🚀 GKniftyHEADS ⚡️⚡️⚡️,,,/wiki/gkniftyheads-bitcoin-kid-infinite-776056.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/776056,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=776056
,Utility / Open Mint,utility_open_mint,Stencil Siren 👑👈,783296,10,counted,10,0,0,0,Scribe Sentinel,,#HODLWARS,,,/wiki/gkniftyheads-stencil-siren-783296.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783296,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783296
,Utility / Open Mint,utility_open_mint,🍒 Blockchain Belle 💋,783392,9,counted,9,0,0,0,Garnet Goddesses 💋,,#HODLWARS,,,/wiki/gkniftyheads-blockchain-belle-783392.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783392,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783392
,Utility / Open Mint,utility_open_mint,🍒 Bit Boss 💋,783395,9,counted,9,0,0,0,💋 Jade Judges,,#HODLWARS,,,/wiki/gkniftyheads-bit-boss-783395.html,https://wax.api.atomicassets.io/atomicassets/v1/templates/gkniftyheads/783395,https://wax.atomichub.io/market?collection_name=gkniftyheads&template_id=783395
