asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
94,76.7584,1099651222532,445272,yoitscharlie,8,65.7084,39.425,14,0.933333,18.6667,ok,14,0.933333,18.6667,ok,196,146,Uncommon,false,false,false
95,76.7159,1099659329464,449935,yoitscharlie,6,68.1861,40.9117,16,0.895105,17.9021,ok,16,0.895105,17.9021,ok,144,144,Uncommon,false,false,false
96,76.5806,1099642207732,441677,yoitscharlie,7,65.8037,39.4822,15,0.927461,18.5492,ok,15,0.927461,18.5492,ok,194,144,Uncommon,false,false,false
97,76.5751,1099667784763,453934,yoitscharlie,5,70.8069,42.4841,14,0.852273,17.0455,ok,14,0.852273,17.0455,ok,89,89,Uncommon,false,false,false
98,76.5532,1099651222533,445272,yoitscharlie,8,65.7084,39.425,15,0.928205,18.5641,ok,15,0.928205,18.5641,ok,196,146,Uncommon,false,false,false
99,76.5108,1099595898021,401767,yoitscharlie,1,94.1847,56.5108,7,0.5,10,ok,7,0.5,10,ok,13,13,Ultra Rare,false,false,false
100,76.4361,1099659329465,449935,yoitscharlie,6,68.1861,40.9117,17,0.888112,17.7622,ok,17,0.888112,17.7622,ok,144,144,Uncommon,false,false,false
101,76.3734,1099642207733,441677,yoitscharlie,7,65.8037,39.4822,16,0.92228,18.4456,ok,16,0.92228,18.4456,ok,194,144,Uncommon,false,false,false
102,76.348,1099651222534,445272,yoitscharlie,8,65.7084,39.425,16,0.923077,18.4615,ok,16,0.923077,18.4615,ok,196,146,Uncommon,false,false,false
103,76.2521,1099679218104,458168,,4,72.6652,43.5991,10,0.816327,16.3265,ok,10,0.816327,16.3265,ok,50,39,Rare,false,false,false
104,76.1662,1099642207734,441677,yoitscharlie,7,65.8037,39.4822,17,0.917098,18.342,ok,17,0.917098,18.342,ok,194,144,Uncommon,false,false,false
105,76.1565,1099659329466,449935,yoitscharlie,6,68.1861,40.9117,18,0.881119,17.6224,ok,18,0.881119,17.6224,ok,144,144,Uncommon,false,false,false
106,76.143,1099651222535,445272,yoitscharlie,8,65.7084,39.425,17,0.917949,18.359,ok,17,0.917949,18.359,ok,196,146,Uncommon,false,false,false
107,76.1205,1099667784764,453934,yoitscharlie,5,70.8069,42.4841,15,0.840909,16.8182,ok,15,0.840909,16.8182,ok,89,89,Uncommon,false,false,false
108,76.0534,1099809648396,401786,fs1r2.wam,3,93.4223,56.0534,15,0.5,10,ok,15,0.5,10,ok,29,21,Rare,false,false,false
109,75.9588,1099642207735,441677,yoitscharlie,7,65.8037,39.4822,18,0.911917,18.2383,ok,18,0.911917,18.2383,ok,194,144,Uncommon,false,false,false
110,75.9378,1099651222536,445272,yoitscharlie,8,65.7084,39.425,18,0.912821,18.2564,ok,18,0.912821,18.2564,ok,196,146,Uncommon,false,false,false
111,75.8767,1099659329467,449935,yoitscharlie,6,68.1861,40.9117,19,0.874126,17.4825,ok,19,0.874126,17.4825,ok,144,144,Uncommon,false,false,false
112,75.7516,1099642207736,441677,yoitscharlie,7,65.8037,39.4822,19,0.906736,18.1347,ok,19,0.906736,18.1347,ok,194,144,Uncommon,false,false,false
113,75.7326,1099651222537,445272,yoitscharlie,8,65.7084,39.425,19,0.907692,18.1538,ok,19,0.907692,18.1538,ok,196,146,Uncommon,false,false,false
114,75.6659,1099667784765,453934,yoitscharlie,5,70.8069,42.4841,16,0.829545,16.5909,ok,16,0.829545,16.5909,ok,89,89,Uncommon,false,false,false
115,75.5971,1099659329468,449935,yoitscharlie,6,68.1861,40.9117,20,0.867133,17.3427,ok,20,0.867133,17.3427,ok,144,144,Uncommon,false,false,false
116,75.5444,1099642207737,441677,yoitscharlie,7,65.8037,39.4822,20,0.901554,18.0311,ok,20,0.901554,18.0311,ok,194,144,Uncommon,false,false,false
117,75.5276,1099651222538,445272,yoitscharlie,8,65.7084,39.425,20,0.902564,18.0513,ok,20,0.902564,18.0513,ok,196,146,Uncommon,false,false,false
118,75.4359,1099680501631,458168,pepperstake,4,72.6652,43.5991,11,0.795918,15.9184,ok,11,0.795918,15.9184,ok,50,39,Rare,false,false,false
119,75.3372,1099642207738,441677,yoitscharlie,7,65.8037,39.4822,21,0.896373,17.9275,ok,21,0.896373,17.9275,ok,194,144,Uncommon,false,false,false
120,75.3224,1099651222539,445272,yoitscharlie,8,65.7084,39.425,21,0.897436,17.9487,ok,21,0.897436,17.9487,ok,196,146,Uncommon,false,false,false
121,75.3173,1099659329469,449935,yoitscharlie,6,68.1861,40.9117,21,0.86014,17.2028,ok,21,0.86014,17.2028,ok,144,144,Uncommon,false,false,false
122,75.2113,1099667784766,453934,yoitscharlie,5,70.8069,42.4841,17,0.818182,16.3636,ok,17,0.818182,16.3636,ok,89,89,Uncommon,false,false,false
123,75.1915,1099595902164,401779,yoitscharlie,2,93.9465,56.3679,10,0.470588,9.4118,ok,10,0.470588,9.4118,ok,18,18,Rare,false,false,false
124,75.1298,1099642207739,441677,yoitscharlie,7,65.8037,39.4822,22,0.891192,17.8238,ok,22,0.891192,17.8238,ok,194,144,Uncommon,false,false,false
125,75.1174,1099651222540,445272,yoitscharlie,8,65.7084,39.425,22,0.892308,17.8462,ok,22,0.892308,17.8462,ok,196,146,Uncommon,false,false,false
126,75.0375,1099659329470,449935,yoitscharlie,6,68.1861,40.9117,22,0.853147,17.0629,ok,22,0.853147,17.0629,ok,144,144,Uncommon,false,false,false
127,74.9226,1099642207740,441677,yoitscharlie,7,65.8037,39.4822,23,0.88601,17.7202,ok,23,0.88601,17.7202,ok,194,144,Uncommon,false,false,false
128,74.9122,1099651222541,445272,yoitscharlie,8,65.7084,39.425,23,0.887179,17.7436,ok,23,0.887179,17.7436,ok,196,146,Uncommon,false,false,false
129,74.7579,1099659329471,449935,yoitscharlie,6,68.1861,40.9117,23,0.846154,16.9231,ok,23,0.846154,16.9231,ok,144,144,Uncommon,false,false,false
130,74.7569,1099667784767,453934,yoitscharlie,5,70.8069,42.4841,18,0.806818,16.1364,ok,18,0.806818,16.1364,ok,89,89,Uncommon,false,false,false
131,74.7154,1099642207741,441677,yoitscharlie,7,65.8037,39.4822,24,0.880829,17.6166,ok,24,0.880829,17.6166,ok,194,144,Uncommon,false,false,false
132,74.707,1099651222542,445272,yoitscharlie,8,65.7084,39.425,24,0.882051,17.641,ok,24,0.882051,17.641,ok,196,146,Uncommon,false,false,false
133,74.6248,1099809649275,401786,fs1r2.wam,3,93.4223,56.0534,16,0.464286,9.2857,ok,16,0.464286,9.2857,ok,29,21,Rare,false,false,false
134,74.6195,1099681914569,458168,sqeba.wam,4,72.6652,43.5991,12,0.77551,15.5102,ok,12,0.77551,15.5102,ok,50,39,Rare,false,false,false
135,74.5082,1099642207742,441677,yoitscharlie,7,65.8037,39.4822,25,0.875648,17.513,ok,25,0.875648,17.513,ok,194,144,Uncommon,false,false,false
136,74.502,1099651222543,445272,yoitscharlie,8,65.7084,39.425,25,0.876923,17.5385,ok,25,0.876923,17.5385,ok,196,146,Uncommon,false,false,false
137,74.4781,1099659329472,449935,yoitscharlie,6,68.1861,40.9117,24,0.839161,16.7832,ok,24,0.839161,16.7832,ok,144,144,Uncommon,false,false,false
138,74.3023,1099667784768,453934,yoitscharlie,5,70.8069,42.4841,19,0.795455,15.9091,ok,19,0.795455,15.9091,ok,89,89,Uncommon,false,false,false
139,74.3008,1099642207743,441677,yoitscharlie,7,65.8037,39.4822,26,0.870466,17.4093,ok,26,0.870466,17.4093,ok,194,144,Uncommon,false,false,false
