asset_rank,asset_final_score,asset_id,template_id,original_mint_number,surviving_mint_rank,template_final_score
209,70.2111,1099651222556,445272,38,38,67.3631
210,70.1549,1099629283854,435457,7,7,51.1412
211,70.1361,1099636300506,438904,18,18,52.9319
212,70.1314,1099642207755,441677,38,38,67.4684
213,70.1314,1099659329486,449935,38,38,67.4684
214,70.115,1099684504346,458168,14,14,72.9986
215,70.0665,1099629283855,435457,8,8,51.1412
216,70.0407,1099636300507,438904,19,19,52.9319
217,69.9783,1099629283856,435457,9,9,51.1412
218,69.9463,1099667784777,453934,28,28,70.3652
219,69.9453,1099636300508,438904,20,20,52.9319
220,69.9351,1099651222557,445272,39,39,67.3631
221,69.8899,1099629283857,435457,10,10,51.1412
222,69.8516,1099642207756,441677,39,39,67.4684
223,69.8516,1099659329487,449935,39,39,67.4684
224,69.8497,1099636300509,438904,21,21,52.9319
225,69.8105,1099595898023,401767,9,9,94.1285
226,69.8017,1099629283858,435457,11,11,51.1412
227,69.7543,1099636300510,438904,22,22,52.9319
228,69.7133,1099629283859,435457,12,12,51.1412
229,69.6593,1099651222558,445272,40,40,67.3631
230,69.6589,1099636300511,438904,23,23,52.9319
231,69.6251,1099629283860,435457,13,13,51.1412
232,69.572,1099642207757,441677,40,40,67.4684
233,69.572,1099659329488,449935,40,40,67.4684
234,69.5633,1099636300512,438904,24,24,52.9319
235,69.5367,1099629283861,435457,14,14,51.1412
236,69.4919,1099667784778,453934,29,29,70.3652
237,69.4679,1099636300513,438904,25,25,52.9319
238,69.4485,1099629283862,435457,15,15,51.1412
239,69.3835,1099651222559,445272,41,41,67.3631
240,69.3725,1099636300514,438904,26,26,52.9319
241,69.3601,1099629283863,435457,16,16,51.1412
242,69.2922,1099642207758,441677,41,41,67.4684
243,69.2922,1099659329489,449935,41,41,67.4684
244,69.2769,1099636300515,438904,27,27,52.9319
245,69.2719,1099629283864,435457,17,17,51.1412
246,69.1835,1099629283865,435457,18,18,51.1412
247,69.1815,1099636300516,438904,28,28,52.9319
248,69.1075,1099651222560,445272,42,42,67.3631
249,69.0953,1099629283866,435457,19,19,51.1412
250,69.0861,1099636300517,438904,29,29,52.9319
251,69.0624,1099698515848,458168,15,15,72.9986
252,69.0373,1099667784779,453934,30,30,70.3652
253,69.0124,1099642207759,441677,42,42,67.4684
254,69.0124,1099659329490,449935,42,42,67.4684
255,69.0069,1099629283867,435457,20,20,51.1412
256,68.9907,1099636300518,438904,30,30,52.9319
257,68.9187,1099629283868,435457,21,21,51.1412
258,68.8951,1099636300519,438904,31,31,52.9319
259,68.8317,1099651222561,445272,43,43,67.3631
260,68.8303,1099629283869,435457,22,22,51.1412
261,68.7997,1099636300520,438904,32,32,52.9319
262,68.7421,1099629283870,435457,23,23,51.1412
263,68.7328,1099642207760,441677,43,43,67.4684
264,68.7328,1099659329491,449935,43,43,67.4684
265,68.7043,1099636300521,438904,33,33,52.9319
266,68.6537,1099629283871,435457,24,24,51.1412
267,68.6087,1099636300522,438904,34,34,52.9319
