atomic_api_url,atomichub_url,collection_name,created_at_time,description,img,is_burnable,is_transferable,issued_supply,max_supply,name,schema_name,template_id,video
https://wax.api.atomicassets.io/atomicassets/v1/templates//773225,https://wax.atomichub.io/market?collection_name=&template_id=773225,,1704306288500,,bafybeictraluxizixisbubqj4yqru2tzm77ndvttpuhymkwpyp5m5vwwre,True,True,20,20,BITCOIN KiD x SARAHPFLY,,773225,"#GKniftyHEADS GENESIS NFT featuring the MIGHTY #SARAHPFY & THE BiTCOIN KiD -  WHAT YOU HAVE FOUND HERE IS A DIGITAL COLLECTABLE PIECE OF ART ⚡️⚡️⚡️  OR IS IT MORE???... 🤡🤡🤡  ONLY WHEN THIS NFT HAS BEEN USED IN-GAME WILL ITS REAL POWER BE UNLEASHED 👑👈  YOU MAY NEED TO BURN IT, GRIND IT BUT YOU CAN PLAY WITH IT XXX 🎯  ITS 2024 AND @GRAFFITIKINGS 👑 FACTIONS ARE RISING 🌏  🎯 The world’s financial institutions that once controlled the government’s stronghold on its citizens have crumbled, Leaving only the fractured remnants of monolithic structures, blotting the scorched #TinderSAUCE landscape, streets worldwide are left naked & BROKEN 🙏 everyone is selling the shirts on their backs to buy Crypto ⚡️⚡️⚡️  Crypto became our Currency ⚡️  Hip Hop became our Gospel 🙏  Tracksuits became our Armor 🦸  The streets are now a lawless, barren shadow of what once was 🎯  The Great Reset is fast approaching 🤡  👑 It's an awakening 🐸 the worlds darkest secrets, & conspiracy’s are the new normal 🤡🌍  🎯 Society’s BROKEN 🙏 we reverted to joining the infamous Crypto MOONBOYS in order to distinguish new safer communities within the New World Order ⚡️⚡️⚡️  ITS A @GKniftyHEADS TAKEOVER 🤟🤑🤞  GET READY TO BATTLE WITH THIS KILLA DIGITAL ART PIECE IN #HODLWARS 2024 ⚡️⚡️⚡️ & MORE   🕹 JOIN U$ ⚡️⚡️⚡️ 🕹 PLAY NOW 🕹 EARN ⚡️⚡️⚡️"
https://wax.api.atomicassets.io/atomicassets/v1/templates//775997,https://wax.atomichub.io/market?collection_name=&template_id=775997,,1705192081500,,bafybeifthehj4pfx7bc6fip2pofomxo43dp7joo5ndjwnxlnuadlhjixaq,True,True,11,11,WE ARE VANDALS NOT VANDULS,,775997,
https://wax.api.atomicassets.io/atomicassets/v1/templates//775999,https://wax.atomichub.io/market?collection_name=&template_id=775999,,1705193741000,,bafybeie67imgx4pnch2ho66n7ojiyco3bt5v4fo3qmo3ien5ndxrk2iyxe,True,True,10,10,WE ARE VANDALS NOT VANDULS ⚡️⚡️⚡️,,775999,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776000,https://wax.atomichub.io/market?collection_name=&template_id=776000,,1705195062000,,bafybeihvm77fmacyuqgkac6p4cuaj4qe346rnrpvontshqlyfmuzzukula,True,True,1,1,👉 WE ARE VANDALS NOT VANDULS ⚡️⚡️⚡️,,776000,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776001,https://wax.atomichub.io/market?collection_name=&template_id=776001,,1705195082000,,bafybeihvm77fmacyuqgkac6p4cuaj4qe346rnrpvontshqlyfmuzzukula,True,True,1,1,👉 WE ARE VANDALS NOT VANDULS ⚡️⚡️⚡️,,776001,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776002,https://wax.atomichub.io/market?collection_name=&template_id=776002,,1705195998500,,bafybeia5mzbanxklwrw25tfbu2ljfupbwtqzucvzx5rytg6mjmimldlj4a,True,True,1,1,👉 BITCOIN KiD INFINITE ⚡️⚡️⚡️,,776002,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776003,https://wax.atomichub.io/market?collection_name=&template_id=776003,,1705196312500,,bafybeibtv54bikm2isa7j6xrotp6wwizttvkpeuf737nrgi7tgjwplaznm,True,True,1,1,👉👑 BITCOIN KiD INFINITE ⚡️⚡️⚡️,,776003,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776004,https://wax.atomichub.io/market?collection_name=&template_id=776004,,1705197467500,,bafybeictraluxizixisbubqj4yqru2tzm77ndvttpuhymkwpyp5m5vwwre,True,True,12,0,💊 BITCOIN KiD x SARAH PFLY INFINITE ⚡️⚡️⚡️,,776004,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776005,https://wax.atomichub.io/market?collection_name=&template_id=776005,,1705197999000,,bafybeidfqqb7qaxk4lyigkexwmxizjebm34yxnmsbwmqp53cc7jpnjigpa,True,True,1,1,👑 BITCOIN KiD INFINITE ⚡️⚡️⚡️,,776005,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776007,https://wax.atomichub.io/market?collection_name=&template_id=776007,,1705200696000,,bafybeifc6aamfxl6nvifghopwmjrjijpawirpi2tazqhak6uvozz4fqzwi,True,True,1,1,✨ BLOCKCHAIN FURIE INFINITE ⚡️⚡️⚡️,,776007,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776049,https://wax.atomichub.io/market?collection_name=&template_id=776049,,1705238234500,,bafybeidwkyvhtoncu7qcdoz7fqu2gxhdnur4n2ph5eixikd2pqzlg3wdsu,True,True,0,0,⚡️⚡️⚡️ FREE`MINDS GK BEATS GENESIS,,776049,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776055,https://wax.atomichub.io/market?collection_name=&template_id=776055,,1705239151000,,bafybeifc6aamfxl6nvifghopwmjrjijpawirpi2tazqhak6uvozz4fqzwi,True,True,1,1,✨ BLOCKCHAIN FURIE INFINITE ⚡️⚡️⚡️,,776055,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776056,https://wax.atomichub.io/market?collection_name=&template_id=776056,,1705239529500,,bafybeidfqqb7qaxk4lyigkexwmxizjebm34yxnmsbwmqp53cc7jpnjigpa,True,True,10,0,👑 BITCOIN KiD INFINITE ⚡️⚡️⚡️,,776056,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776057,https://wax.atomichub.io/market?collection_name=&template_id=776057,,1705239694000,,bafybeifc6aamfxl6nvifghopwmjrjijpawirpi2tazqhak6uvozz4fqzwi,True,True,7,0,✨ BLOCKCHAIN FURIE INFINITE ⚡️⚡️⚡️,,776057,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776058,https://wax.atomichub.io/market?collection_name=&template_id=776058,,1705239800500,,bafybeibtv54bikm2isa7j6xrotp6wwizttvkpeuf737nrgi7tgjwplaznm,True,True,11,0,👉👑 BITCOIN KiD INFINITE ⚡️⚡️⚡️,,776058,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776059,https://wax.atomichub.io/market?collection_name=&template_id=776059,,1705239890500,,bafybeia5mzbanxklwrw25tfbu2ljfupbwtqzucvzx5rytg6mjmimldlj4a,True,True,8,0,👉 BITCOIN KiD INFINITE ⚡️⚡️⚡️,,776059,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776063,https://wax.atomichub.io/market?collection_name=&template_id=776063,,1705243077500,,bafybeifthehj4pfx7bc6fip2pofomxo43dp7joo5ndjwnxlnuadlhjixaq,True,True,8,0,WE ARE VANDALS NOT VANDULS,,776063,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776065,https://wax.atomichub.io/market?collection_name=&template_id=776065,,1705243176000,,bafybeihvm77fmacyuqgkac6p4cuaj4qe346rnrpvontshqlyfmuzzukula,True,True,7,0,👉 WE ARE VANDALS NOT VANDULS ⚡️⚡️⚡️,,776065,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776066,https://wax.atomichub.io/market?collection_name=&template_id=776066,,1705243260000,,bafybeie67imgx4pnch2ho66n7ojiyco3bt5v4fo3qmo3ien5ndxrk2iyxe,True,True,6,0,WE ARE VANDALS NOT VANDULS ⚡️⚡️⚡️,,776066,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776074,https://wax.atomichub.io/market?collection_name=&template_id=776074,,1705247611500,,bafybeib26kz6mirvsog3xbk6srfzou6jqvegpbgf2t3ynuvahqpm64vj6i,True,True,13,100,👉 BITCOIN KiD TV HEADS 100 ⚡️⚡️⚡️,,776074,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776099,https://wax.atomichub.io/market?collection_name=&template_id=776099,,1705253934500,,bafybeicqr4dgocedavorz6c66hno6lh6rurdbs7nyswczvjiuvakmr6zt4,True,True,1,0,👉 MR CHEO TEST PRESS ⚡️⚡️⚡️,,776099,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776100,https://wax.atomichub.io/market?collection_name=&template_id=776100,,1705255245500,,bafybeidaaw5zhkhvij7ls6cup5ixjycz2zun3tr2ozgkethn57k4l4pkm4,True,True,1,1,👉 MR CHEO BRISTOL ⚡️⚡️⚡️,,776100,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776101,https://wax.atomichub.io/market?collection_name=&template_id=776101,,1705255442500,,bafybeiabz22p26cxecgq56ap2chqqaiqkgokc7ay6iru4wi6qujwwq632q,True,True,1,1,👉 MR CHEO PURPLE PAINS ⚡️⚡️⚡️,,776101,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776102,https://wax.atomichub.io/market?collection_name=&template_id=776102,,1705255740000,,bafybeih2olempqplvbitwpgvddext2uftpzxnviocf6k6jo5ieipvqmp3y,True,True,1,1,👉 MR CHEO $LAP HEAD ⚡️⚡️⚡️,,776102,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776103,https://wax.atomichub.io/market?collection_name=&template_id=776103,,1705255989000,,bafybeibbk67x2m7uveo2k7igh4e5dcrnlduoki4dcjvucbecximzatxbcq,True,True,1,1,👉 MR CHEO SPIT HEAD ⚡️⚡️⚡️,,776103,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776109,https://wax.atomichub.io/market?collection_name=&template_id=776109,,1705261289000,,bafybeidaaw5zhkhvij7ls6cup5ixjycz2zun3tr2ozgkethn57k4l4pkm4,True,True,0,0,👉 MR CHEO BRISTOL ⚡️⚡️⚡️,,776109,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776110,https://wax.atomichub.io/market?collection_name=&template_id=776110,,1705261376000,,bafybeiabz22p26cxecgq56ap2chqqaiqkgokc7ay6iru4wi6qujwwq632q,True,True,0,0,👉 MR CHEO PURPLE PAINS ⚡️⚡️⚡️,,776110,
https://wax.api.atomicassets.io/atomicassets/v1/templates//776114,https://wax.atomichub.io/market?collection_name=&template_id=776114,,1705261462000,,bafybeih2olempqplvbitwpgvddext2uftpzxnviocf6k6jo5ieipvqmp3y,True,True,0,0,👉 MR CHEO $LAP HEAD ⚡️⚡️⚡️,,776114,
